UID	English corrected	Character	CharMood	Duration
CS07Intro_Spike_16	<Spike> Soy el compañero de Jade... Ella me contó sobre tu pelea. Hay cosas sobre Esteban que deberías saber.	Spike	Neutral	4
CS07Intro_Flora_17	¡Eso es todo Jade por todas partes! ¡Escucha, no me interesa! ¡Ve y dile a Jade que si tiene algo que decir, que me lo diga ella misma!	Flora	Angry	7
CS07Intro_Spike_18	<Spike> Vale, déjate el pelo puesto. Tenéis mucho en común, como dijo Jade.	Spike	Neutral	4
CS07Intro_Flora_19	¡No me compares con Jade, nunca!	Flora	Angry	2
CS07Intro_Spike_20	<Spike> ¡Parece que he tocado un punto sensible! En fin, cambiemos de tema. ¿Alguien quiere un autógrafo de la última sensación del pop-rock? 	Spike	Happy	6
CS07Intro_Caroll_21	<Caroll> Creo que me voy a desmayar. 	Caroll	Happy	1
CS07Intro_Spike_22	<Spike> Siento chantajearte pero si me haces un favor, le daré un autógrafo a tu amiga. 	Spike	Neutral	4
CS07Intro_Caroll_23	<Caroll> Oh, por favor ....por favor....¡¡¡POR FAAVOOR!!!	Caroll	Badmood	5
CS07Intro_Flora_24	Vale, pero sólo porque quiero saber qué otros trucos turbios ha hecho Jade. 	Flora	Neutral	4
CS07Intro_Spike_25	<Spike> Toma. Sigue las instrucciones y ven a buscarme en una hora. ¡Cuidado! Ni un minuto más ni menos, o adiós Sr. Autógrafo.	Spike	Neutral	7
CS07Intro_Flora_26	Tarde es mi segundo nombre. Eso va a ser difícil.	Flora	Neutral	2
CS07Intro_Spike_27	<Spike> Es hora de dejar el hábito, princesa. Hasta luego.	Spike	Happy	2
CS07Intro_Flora_28	¿Cómo me ha llamado?	Flora	Angry	1
CS07Intro_Caroll_29	<Caroll> Princesa... Te llamó Princesa... Eres tan afortunada...	Caroll	Happy	4
CS07End_Esteban_01	<Esteban> ¿Y qué? ¿De qué querías hablar? No has venido hasta aquí para hablar de música. 	Esteban	Neutral	5
CS07End_Spike_02	<Spike> Parece que te alegras de verme... 	Spike	Happy	1
CS07End_Esteban_03	<Esteban> Nunca me has gustado mucho, así que, por favor, ahórrate la palabrería de dos caras. 	Esteban	Angry	3
CS07End_Spike_04	<Spike> Jade se esfuerza por poner en marcha la Academia de Birdy y no está contenta de que hayas robado a su mejor alumna. 	Spike	Neutral	4
CS07End_Esteban_05	<Esteban> ¿Robado? Ja, ja, ja... Esa es Jade la reina del drama por todos lados. Su esperanza perdida es lo suficientemente grande como para tomar sus propias decisiones. 	Esteban	Happy	8
CS07End_Spike_06	<Spike> Eso es lo que le dije. También sugerí que tal vez eras dulce con ella, así que no se te podía culpar por tratar de mantenerla al alcance de la mano.	Spike	Happy	6
CS07End_Esteban_07	<Esteban> ¿Eres tan tonto como pareces, Spike? Sabes perfectamente que no siento nada por el chica. De la misma manera que no sentí nada por Jade en su momento. Es tan fácil envolver a las mujeres alrededor de tu dedo pequeño cuando sabes cómo.	Esteban	Happy	11
CS07End_Spike_08	<Spike> No estoy de acuerdo pero debes tener tus razones para ser tan retorcido.	Spike	Angry	3
CS07End_Esteban_09	<Esteban> ¿Mis razones? Por supuesto, las tengo. Pasé un año de mi vida en prisión, esperando el momento de vengarme. Ese momento es ahora. Jade ha perdido su estrella en ascenso, su academia está de rodillas y la mía está en el cielo. ¿Entiendes ahora? El juego ha terminado. 	Esteban	Angry	15
CS07End_Flora_10	Alto y claro. ¡Y yo también he terminado de jugar!	Flora	Angry	3
CS07End_Esteban_11	<Esteban> ¿Qué estás haciendo?	Esteban	Neutral	1
CS07End_Flora_12	Mantener mis decisiones, incluso las más impulsivas. Una amiga me lo enseñó hace poco. Jade no perderá su estrella ascendente el domingo, ¡así que prepárate para que te bajen a la tierra con un fuerte golpe!	Flora	Angry	8
CS07End_Esteban_13	<Esteban> Me has engañado.	Esteban	Angry	1
CS07End_Spike_14	<Spike> ¿Lo crees? En ese caso, ¿no soy tan tonto como parezco?	Spike	Happy	3
CS07End_Esteban_15	<Esteban> Pagarás por esto. En la competición.	Esteban	Angry	3
CS07End_Spike_16	<Spike> Un gran gancho de derecha, ¿no crees?	Spike	Happy	1
CS08Intro_Flora_01	Por eso tengo que pedir disculpas. Estaba cegada por mi propio orgullo. Defraudé terriblemente nuestra amistad. 	Flora	Badmood	6
CS08Intro_Jade_02	<Jade> No se te puede culpar. Ahora ves en lo que casi te has dejado llevar...	Jade	Happy	3
CS08Intro_Aurelie_03	<Aurélie> Nos has dado un susto a todos.	Aurélie	Happy	1
CS08Intro_Patrick_04	<Patrick> Me alegro de que sigas con nosotros. Tu... energía es un impulso para esta academia.	Patrick	Happy	4
CS08Intro_Spike_05	<Spike> Ni la mitad. La chica es un tornado. Deberías haber visto el golpe que le dio a Dungbrain. 	Spike	Happy	4
CS08Intro_Harry_06	<Harry> Y tendrá una prueba del mío si vuelve a causar problemas...	Harry	Angry	3
CS08Intro_Miguel_07	<Miguel> He escrito un poema para despedirme. No es nada especial... pero supongo que ya es inútil.	Miguel	Badmood	6
CS08Intro_Flora_08	Dámelo de todos modos Miguel. Me emociona que hayas pensado en ello. 	Flora	Happy	3
CS08Intro_Caroll_09	<Caroll> ¡Tardó horas en escribirlo!	Caroll	Happy	1
CS08Intro_Miguel_10	<Miguel> Caroll…	Miguel	Badmood	1
CS08Intro_Samuel_11	<Samuel> ¡Ahora podré descubrir tu secreto y ganarte a las cartas!	Samuel	Happy	12
CS08Intro_Flora_12	Bien, ¿qué tal si hacemos una pequeña fiesta de Navidad?	Flora	Neutral	2
CS08Intro_Ensemble_13	<Juntos> ¡¡¡¡Sí!!!!	Ensemble	Happy	
CS08End_Flora_01	Sólo tengo que abrir este...	Flora	Happy	1
CS08End_Flora_02	¡Joyería! ¡Es increíble! Tiene un corazón grabado...	Flora	Neutral	4
CS08End_Caroll_03	<Caroll> Nunca he visto nada tan hermoso. Aparte de mi autógrafo de Spike.	Caroll	Happy	4
CS08End_Flora_04	Es exactamente el mismo tipo que me ofrecieron en Italia. 	Flora	Neutral	3
CS08End_Aurelie_05	<Aurélie> ¿Lo que quieres decir es que no fue un regalo de los de Pinewood y que debió venir de uno de nosotros?	Aurélie	Neutral	4
CS08End_Caroll_06	<Caroll> Uno de los chicos, quieres decir...	Caroll	Happy	1
CS08End_Samuel_07	<Samuel> ¿Qué hemos hecho ahora?	Samuel	Badmood	1
Compet04Start_Flora_01	Un paso más y lo lamentarás.	Flora	Angry	2
Compet04Start_Esteban_02	<Esteban> ¿Conoces a esta gente?	Esteban	Angry	1
Compet04Start_Flora_03	Son mis padres. ¿De dónde sacaste eso?	Flora	Angry	2
Compet04Start_Esteban_04	<Esteban> Has visto hasta dónde llego para conseguir lo que quiero, ¿verdad?	Esteban	Angry	3
Compet04Start_Flora_05	¿Qué tienen que ver mis padres con esto?	Flora	Angry	1
Compet04Start_Esteban_06	<Esteban> Digamos que financieramente su pequeño negocio pende de un hilo. Tengo conexiones bien situadas que podrían cortar ese hilo, o algo peor. Todo lo que tengo que hacer es chasquear los dedos. 	Esteban	Neutral	11
Compet04Start_Flora_07	¿Qué? No caerías tan bajo...	Flora	Badmood	2
Compet04Start_Esteban_08	<Esteban> Sabes muy bien que lo haría. Así que esto es lo que quiero: pierde la competición y tu familia sigue sonriendo. Pero, ojo, por perder quiero decir fracasar; quiero ver las peores puntuaciones posibles en todas las disciplinas. 	Esteban	Angry	13
Compet04Start_Flora_09	Como puedes...	Flora	Badmood	2
Compet04Start_Esteban_10	<Esteban> ¡No olvides que lo que cuenta es perder, campeona! ...	Esteban	Neutral	3
Week04EndA_Flora_01	Amenazó a mis padres, Jade. ¿Qué podía hacer? Es un desastre...	Flora	Badmood	
Week04EndA_Jade_02	<Jade> Has reaccionado bien. Nadie sabe hasta dónde sería capaz de llegar. Patrick informó a las autoridades y están al acecho. No intentará nada ahora, o será la cárcel otra vez para él. También tiene prohibido acercarse a ti.	Jade	Neutral	11
Week04EndA_Flora_03	Pero consiguió lo que quería. Fuimos eliminados de la competición.	Flora	Badmood	
Week04EndA_Jade_04	<Jade> Todavía hay una esperanza. Si derrotamos a una academia de mayor categoría que Beachwood, podremos participar en la final y vengarnos de Esteban.	Jade	Neutral	9
Week04EndA_Flora_05	Pero pensé que Beachwood era la mejor.	Flora	Neutral	
Week04EndA_Jade_06	<Jade> No exactamente. Todavía hay una academia que Esteban y su influencia financiera no han conseguido hundir. 	Jade	Neutral	6
Week04EndA_Flora_07	Pero, seguramente nuestra derrota también nos ha perjudicado económicamente, ¿no es así? He oído que nuestros patrocinadores iban a ofrecer la Academia Sycamore al mejor postor. 	Flora	Badmood	
Week04EndA_Jade_08	<Jade> Eso es cierto. Pero una vieja amiga se ha ofrecido a ayudar. Vamos a ser acogidos por otra academia: la Cherry Tree. 	Jade	Neutral	6
Week04EndA_Flora_09	¿Y dónde está?	Flora	Neutral	
Week04EndA_Jade_10	<Jade> En China, nos vamos mañana.	Jade	Neutral	1
Week04EndB_Jade_01	<Jade> Kiew, eres nuestra salvación.	Jade	Happy	1
Week04EndB_Kiew_02	<Kiew> Bienvenida a mi Academia, Jade. Te advierto que la competencia conmigo será dura; no te lo voy a poner fácil.	Kiew	Angry	6
Week04EndB_Jade_03	<Jade> Vale, deja de hablar de forma dura, a mí no me vale.	Jade	Happy	2
Week04EndB_Kiew_04	<Kiew> Estoy muy contenta de verte	Kiew	Happy	1
Week04EndB_Flora_05	<Jade> Así que esta es la Academia Cherry Tree...	Flora	Happy	
Week04EndB_Kiew_06	<Kiew> Lo que ves es el fruto de una profunda reflexión sobre el arte de la vida y la calma interior. Aquí aprendemos a canalizar la energía violenta y convertirla en una fuerza de bondad. No hay victoria sin calma; no hay control sin paz. Los alumnos de la Academia suelen ser almas atormentadas, incapaces de dominar sus propias emociones. Vienen aquí para encontrar la paz en su ser. 	Kiew	Neutral	22
Week04EndB_Ginger_07	<Ginger> O porque es la escuela con las mejores vistas que conozco.	Ginger	Happy	2
Week04EndB_Jade_08	<Jade> ¡Ginger! ¿Qué estás haciendo aquí?	Jade	Happy	1
Week04EndB_Ginger_09	<Ginger> ¡Me alegro de verte, Jade!	Ginger	Happy	2
Week04EndB_Kiew_10	<Kiew> Ginger vino hace dos meses. Nunca perdimos el contacto y Ginger lo estaba pasando mal. Así que me preguntó si podía acompañarme. 	Kiew	Neutral	7
Week04EndB_Ginger_11	<Ginger> Es el mejor lugar para criar a una niña.	Ginger	Neutral	1
Week04EndB_Jade_12	<Jade> ¿Dónde está el padre?	Jade	Neutral	1
Week04EndB_Kiew_13	<Kiew> A quién le importa. Lo que importa es el futuro. Mírala, ¿no es magnífica? 	Kiew	Neutral	6
Week04EndB_Jade_14	<Jade> Sí, Kiew lo es.	Jade	Neutral	1
Week04EndB_Flora_15	Creo que voy a ser feliz aquí. 	Flora	Happy	
CS09Intro_Miguel_01	<Miguel> Eh, ¿estoy en el camino?	Miguel	Neutral	2
CS09Intro_Flora_02	En realidad, sí, pero viendo que estás aquí...	Flora	Neutral	2
CS09Intro_Miguel_03	<Miguel> Sólo vine a decir...	Miguel	Neutral	2
CS09Intro_Flora_04	¿Qué?	Flora	Happy	1
CS09Intro_Miguel_05	<Miguel> Eh... Los otros están organizando una noche de fogata y pensé que... si te dejaba un mapa, podrías querer unirte a nosotros... Si te parece bien, por supuesto...	Miguel	Neutral	11
CS09Intro_Flora_06	No hay tiempo para divertirse. Por si no lo sabéis, esta competición podría ser la última de nuestra historia, ¿y lo único que se os ocurre es hacer hogueras? Gran trabajo en equipo, bien hecho. 	Flora	Angry	9
CS09Intro_Flora_07	Realmente tengo que aprender a controlar la ira...	Flora	Badmood	2
CS10Intro_Aurelie_01	<Aurélie> Te ves mucho mejor que con tu vieja chaqueta de los ochenta.	Aurélie	Happy	3
CS10Intro_Miguel_02	<Miguel> Me gustaban los años ochenta. Tenía algo esencial que hemos perdido por el camino.	Miguel	Badmood	5
CS10Intro_Aurelie_03	<Aurélie> ¡No importa! ¡Mírate en el espejo!	Aurélie	Neutral	3
CS10Intro_Miguel_04	<Miguel> Parezco un pingüino.	Miguel	Badmood	1
CS10Intro_Caroll_05	<Caroll> ¡Un pingüino muy encantador!	Caroll	Happy	2
CS10Intro_Miguel_06	<Miguel> ¿Eso crees?	Miguel	Happy	1
CS10Intro_Caroll_07	<Caroll> Si todos los pingüinos fuesen tan buenos, reservaría inmediatamente un billete para la Antártida.	Caroll	Happy	5
CS10Intro_Aurelie_08	<Aurélie> ¿Y despedirte de los conciertos de Spike?	Aurélie	Neutral	2
CS10Intro_Caroll_09	<Caroll> Mmm, es cierto...	Caroll	Badmood	1
CS10Intro_Miguel_10	<Miguel> Entonces, ¿qué opinas?	Miguel	Badmood	1
CS10Intro_Aurelie_11	<Aurélie> ¡Espléndido, te lo digo!	Aurélie	Happy	1
CS10Intro_Miguel_12	<Miguel> ¿Samuel?	Miguel	Neutral	1
CS10Intro_Samuel_13	<Samuel> ¡JAJAJAJAJA! ¡Esto es increíble!	Samuel	Happy	3
CS10Intro_Aurelie_14	<Aurélie> ¡Samuel! ¡Largo! ¡Ahora!	Aurélie	Angry	2
CS10Intro_Caroll_15	<Caroll> No le hagas caso. La dejarás sin aliento.	Caroll	Happy	3
CS10Intro_Miguel_16	<Miguel> Lo único que espero es que haya encontrado lo que le envié y quiera saber más. 	Miguel	Neutral	4
CS10End_Flora_01	¿No se supone que debe decir algo ahora, señor poeta...?	Flora	Neutral	
CS10End_Miguel_02	<Miguel> Yo... Yo...	Miguel	Neutral	
CS10End_Flora_03	Dilo. Quiero oírlo.	Flora	Happy	
CS10End_Miguel_04	<Miguel> Te quiero...	Miguel	Neutral	
CS10End_Flora_05	Y yo también te quiero. Y no tiene nada que ver con tu nuevo look.	Flora	Happy	
CS11Intro_Harry_01	<Harry> No podemos haber llegado tan lejos para no ir a ninguna parte.	Harry	Angry	2
CS11Intro_Jade_02	<Jade> Lo siento, Harry. Esa es nuestra posición. Sin fondos, no hay final. Nuestra deuda está al límite.	Jade	Badmood	5
CS11Intro_Patrick_03	<Patrick> ¡Ese cretino de Esteban finalmente nos habrá paralizado! 	Patrick	Angry	3
CS11Intro_Harry_04	<Harry> Si tuviera dos piernas buenas, iría a darle a ese pícaro un pedazo de mi mente. 	Harry	Angry	2
CS11Intro_Jade_05	<Jade> Lo peor es que no ha hecho nada ilegal. Tenemos que pagar los préstamos.	Jade	Badmood	4
CS11Intro_Flora_06	¿Cuánto necesitamos para competir?	Flora	Neutral	2
CS11Intro_Jade_07	<Jade> 150.000 créditos. Tus ahorros no lo cubrirán, me temo.	Jade	Badmood	3
CS11Intro_Flora_08	Déjalo en mis manos. Te conseguiré el dinero, antes de que anochezca.	Flora	Happy	2
CS11Intro_Jade_09	<Jade> No seas estúpida, vuelve.	Jade	Badmood	1
CS11Intro_Patrick_10	<Patrick> Déjala creer. Esta competición significa tanto para ella como para ti. ¿Sabes por qué? 	Patrick	Neutral	5
CS11Intro_Jade_11	<Jade> Lo sé. Pero está luchando contra los molinos de viento. 	Jade	Badmood	2
CS11Intro_Harry_12	<Harry> Y no es la primera. Lo está intentando, eso es lo que cuenta. Y los molinos de viento a veces esconden sorpresas. 	Harry	Neutral	5
CS11End_Flora_01	Buenas tardes a todos. Aquí tienen: ¡150.000 créditos! No los gastes todos a la vez.	Flora	Happy	5
CS11End_Flora_02	Si puedo serviros en algo más, no dudéis en llamarme. 	Flora	Happy	2
CS11End_Harry_03	<Harry> No voy a preguntar de dónde salió ese dinero.	Harry	Happy	2
CS11End_Jade_04	<Jade> Esta chica es increíble.	Jade	Happy	1
CS11End_Patrick_05	<Patrick> Como tú, Jade.	Patrick	Happy	1
CS12Intro_Flora_01	¿Miguel? ¿Estás ahí? No es tu reunión más creativa. ¿Te estás quedando sin fuerzas?	Flora	Happy	6
CS12Intro_Esteban_02	<Esteban> Hago lo que puedo, cariño...	Esteban	Neutral	1
CS12Intro_Flora_03	¡Esteban! ¡¿Vienes a amenazarme otra vez?!	Flora	Angry	1
CS12Intro_Esteban_04	<Esteban> Se acabaron las amenazas. No, ahora es el momento de la acción....	Esteban	Angry	2
CS12Intro_Esteban_05	<Esteban> Lesiones antes de la competición Siempre tan comunes...	Esteban	Angry	4
CS12Intro_Flora_06	¡No te acerques!	Flora	Angry	1
CS12Intro_Flora_07	¡Te arrepentirás de esto!	Flora	Angry	1
CS12Intro_Esteban_08	<Esteban> ¡Ahora!	Esteban	Angry	1
CS12IntroB_Flora_01	¡Ayuda! ¡Ayuda! ¡Que alguien me ayude! ¡¡¡¡Ayudadme!!!!	Flora	Badmood	
EndGame_Jade_01	<Jade> Aquí está el hombre detrás de tu éxito. Quería presentaros.	Jade		3
EndGame_Flora_02	Gracias por todo, Birdy. Nunca olvidaré tu academia y lo que representas...	Flora		4
EndGame_Jade_03	<Jade> Estoy orgullosa de ti.	Jade		1
EndGame_Flora_04	Gracias por todo, Jade. Birdy puede descansar en paz ahora, su academia está en buenas manos.	Flora		5
EndGame_Patrick_05	<Patrick> ¿Veniis? ¡La pequeña se va a resfriar!	Patrick		2
EndGame_Harry_06	<Harry> Cierto, ¡volvamos a la academia! ¡Esta noche me apetece preparar un raro y viejo festín de judías!	Harry		3
EndGame_Jade&Flora_07	<Jade y Flora> ¡Ya vamos!	Jade et Flora		3
EndGame2_Flora_01	Y ahí se acaba mi historia. Me encantaría seguir contando cómo la victoria cambió mi vida y muchas otras cosas. ¡También me gustaría contaros lo que pasó con Caroll, Aurélie y Samuel! Pensé que perdería el contacto con ellos, pero en realidad nos hicimos completamente inseparables (suspiros). En fin, es una larga historia y os la contaré en otro momento, lo prometo. Eso es todo por el momento. Considera que tienes suerte; ya no tienes que aguantarme, ¡tanto ladrar como morder ;-)!	Flora	Happy	
EndGame2_Flora_02	... ¿Eh? Oh, ¿todavía estás aquí? ... ¿y qué hay del "galán" Miguel? ¿No eres tú el curioso? ;-)	Flora	Happy	
