UID	English Text V2	Character	CharMood	
W3SatSamTalk_01	Samuel, tengo que pedirte un pequeño favor.	Jade	Happy	
W3SatSamTalk_02	Siempre es un placer ayudar a una damisela en apuros, ¡especialmente si la damisela es guapa y pelirroja como tú! 	Samuel	Happy	
W3SatSamTalk_03	Samuel, compórtate. Es muy halagador, pero recuerda que soy tu profesora. Me debes respetar.	Jade	Happy	
W3SatSamTalk_04	Sí, pero hace varios años, aún eras estudiante.	Samuel	Neutral	
W3SatSamTalk_05	Lo sé. A veces me tomo demasiado en serio.	Jade	Neutral	
W3SatSamTalk_06	¿Y el favor?	Samuel	Neutral	
W3SatSamTalk_07	Ah, sí. Necesito que me ayudes a falsificar un billete para un concierto.	Jade	Neutral	
W3SatSamTalk_08	Muy buena. La señorita "Me-Debes-Respetar" se une al mundo del crimen.	Samuel	Neutral	
W3SatSamTalk_09	Es que me encanta la música rock y no me perdería este concierto por nada del mundo.  	Jade	Happy	
W3SatSamTalk_10	No es realmente mi estilo. ¿Pero por amor a la música? Haré lo que sea.	Samuel	Neutral	
W3SatSamTalk_11	Aquí está la dirección de Internet con la imagen para copiar.	Jade	Neutral	
W3SatSamTalk_12	Déjamelo a mí y vuelve en un rato. 	Samuel	Neutral	
W3SatPrepareInvit_01	Jade, ¿has visto? ¿Has visto lo que pasa en la ciudad esta noche?	Aurelie	Happy	
W3SatPrepareInvit_02	Es increíble, esplendoroso, el mejor día de mi vida, ¡de mi vida!	Caroll	Happy	
W3SatPrepareInvit_03	 ¿Qué ocurre?	Jade	Neutral	
W3SatPrepareInvit_04	¡Los Bloodflowers tocan esta noche, en el pub!	Caroll	Happy	
W3SatPrepareInvit_05	¡Su cantante es un bombón!	Aurelie	Happy	
W3SatPrepareInvit_06	¡Un encanto total!	Caroll	Happy	
W3SatPrepareInvit_07	Totalmente...	Aurelie	Happy	
W3SatPrepareInvit_08	¡Guauuuu!	Caroll	Happy	
W3SatPrepareInvit_09	En realidad, alguien dijo algo y...	Jade	Neutral	
W3SatPrepareInvit_10	Lo siento. Me tengo que ir. ¡El concierto va a empezar!	Aurelie	Happy	
W3SatPrepareInvit_11	¡Espera! ¿Quieres decir que tienes entradas?	Jade	Neutral	
W3SatPrepareInvit_12	Por supuesto, ¿qué te crees? No nos lo perderíamos por nada del mundo. Hasta luego. 	Aurelie	Happy	
W3SatPrepareInvit_13	Aurélie, ¿crees que tocarán "Mi mono favorito"?	Caroll	Happy	
W3SatPrepareInvit_14	¡¡¡Si no lo hacen...!!!	Aurelie	Happy	
W3SatPrepareInvit_15	Estoy tan desconectada estos días... Bien, veamos dónde está Samuel...	Jade	Neutral	
W3SatSamTalk2_01	Es increíble. Igual que la auténtica..	Jade	Happy	
W3SatSamTalk2_02	Es porque... es la auténtica.	Samuel	Neutral	
W3SatSamTalk2_03	¿Que qué?	Jade	Neutral	
W3SatSamTalk2_04	No soy un friki de la informática. Dije que te ayudaría en esto porque Caroll me ofreció una entrada. 	Samuel	Neutral	
W3SatSamTalk2_05	¿Pero no quieres ir con ella?	Jade	Neutral	
W3SatSamTalk2_06	Como dije: "no es mi estilo". Pero definitivamente parece que es el tuyo. Así que adelante. 	Samuel	Neutral	
W3SatSamTalk2_07	Es muy dulce de tu parte Samuel. Gracias.	Jade	Happy	
W3SatVideTalk2_01	Escucha, señorita, si no te comportas voy a tener que llamar a seguridad. Sin entrada, no hay fiesta, ¿entiendes? 	Videur	Neutral	
W3SatVideTalk2_02	Resulta que tengo un billete. Aquí...	Jade	Happy	
W3SatVideTalk2_03	¿Cómo lo has conseguido?	Videur	Neutral	
W3SatVideTalk2_04	Me encontré con Papá Noel.	Jade	Happy	
W3SatVideTalk2_05	Tú eres una afortunada. O una persistente...	Videur	Neutral	
W4TueGridLock_01	La puerta está cerrada...	Flora	Neutral	
W4TueGridLock_02	Hay un mensaje escrito en la roca en el otro lado, pero estoy demasiado lejos para leerlo. 	Flora	Neutral	
W4TueRockPhoto_01	Es una imagen de una roca roja, con una llave debajo, sin duda la llave de la puerta.	Flora	Neutral	
W4TueKeyTake_01	Ahí está la roca roja de la foto y hay una llave debajo. 	Flora	Neutral	
W4TueNoHorse_01	Será mejor que vayas con tu caballo. No puedes dejarlo vagando fuera.	Elsys	Neutral	
W4TueReplay_01	No llegaste a tiempo a la reunión con Spike. Tienes que empezar de nuevo. 	Elsys	Neutral	
W4TueGameOver_01	No has llegado a tiempo a la reunión con Spike. La aventura ha terminado para ti. 	Elsys	Neutral	
W4FriStart_01	Es hora de trabajar. La investigación está hecha y mi lista de regalos es brillante. Ahora sólo tengo que encontrarlos todos. 	Flora	Neutral	
W4FriStart_02	Jade nos dio 500 créditos a cada uno. Tendremos que usarlos sabiamente.	Flora	Neutral	
W4FriStart_03	Veamos: un autógrafo de Spike para Caroll. Un CD en directo de MC Melon para Samuel, una colección de poesía para Miguel, una partitura de violín para Aurélie, una flor rara para Jade; una foto de la groupie número uno, Caroll, para Spike; una botella de la licorería local para Harry y, para Patrick... una foto de Jade.	Flora	Neutral	
W4FriStart_04	Cuando tenga todos los regalos, tendré que volver y preparar la fiesta. 	Flora	Neutral	
W4FriSpikeTalk_01	Ey, ¿qué haces ahí tan solo?	Flora	Neutral	
W4FriSpikeTalk_02	Estaba escribiendo una nueva canción.	Spike	Neutral	
W4FriSpikeTalk_03	¿De qué va?	Flora	Neutral	
W4FriSpikeTalk_04	La misma historia de siempre. Chico conoce a chica, chico ama a chica, todo sale mal, nadie sabe por qué, fin. 	Spike	Badmood	
W4FriSpikeTalk_05	¿Te han roto el corazoncito en el pasado? Únete al club.	Flora	Badmood	
W4FriSpikeTalk_06	No. Yo fui el estúpido. La dejé. 	Spike	Badmood	
W4FriSpikeTalk_07	Tal vez deberías escribir algo menos deprimente. Podría ayudar de alguna manera.	Flora	Neutral	
W4FriSpikeTalk_08	Tal vez, tengas razón. Bueno, pasemos a otra cosa. ¿Qué puedo hacer por ti, princesa? 	Spike	Happy	
W4FriSpikeTalk_09	Primero puedes dejar de llamarme así. ¡Es machista y denigrante!	Flora	Angry	
W4FriSpikeTalk_10	Oye, muerdes además de ladrar. A alguien más que conozco le gustó el nombre. 	Spike	Happy	
W4FriSpikeTalk_11	Bueno, este alguien no, así que tendrás que aguantar mi ladrido Y mi mordisco.	Flora	Angry	
W4FriSpikeTalk_12	Vale, lo siento...	Spike	Neutral	
W4FriSpikeTalk_13	No tiene importancia. De todos modos, antes me hiciste una promesa. 	Flora	Happy	
W4FriSpikeTalk_14	No la he olvidado. Toma: un autógrafo para tu amiga Caroll. Una encantadora admiradora, sin duda. 	Spike	Happy	
W4FriSpikeTalk_15	Caroll es una verdadera estrella. Gracias por el autógrafo. Mejor me voy. Tengo que hacer compras para Navidad. 	Flora	Happy	
W4FriSpikeTalk_16	No me dejes fuera de tu lista. ¡Me encantan los regalos!	Spike	Happy	
W4FriSpikeTalk_17	¡Lo prometo! Hasta luego...	Flora	Happy	
W4FriSpikeTalk2_01	¿Cómo van las compras?	Spike	Neutral	
W4FriSpikeTalk2_02	Muy bien, gracias.	Flora	Happy	
W4FriPatrickTalk_01	Bueno, bueno, bueno, tengo la costumbre de pillar a los estudiantes curioseando en la biblioteca. 	Patrick	Happy	
W4FriPatrickTalk_02	¿Y eso?	Flora	Neutral	
W4FriPatrickTalk_03	Una larga historia... ¿Cuál es la tuya?	Patrick	Neutral	
W4FriPatrickTalk_04	Me preguntaba si es posible comprar un libro de la academia. Una colección de poemas para ser precisos. 	Flora	Neutral	
W4FriPatrickTalk_05	La respuesta... es sí. Los estudiantes tienen derecho a comprar libros de la biblioteca y yo tengo justo lo que necesitas: "Los Poetas Románticos: La Melancolía Como Forma de Vida". Puedes tenerlo por 50 créditos.	Patrick	Neutral	
W4FriPatrickTalk_06	Perfecto.	Flora	Happy	
W4FriPatrickTalk_07	Tráeme los créditos y es tuyo.	Patrick	Neutral	
W4FriPatrickTalk2_01	Es un libro precioso. Él quedará satisfecho.	Patrick	Neutral	
W4FriPatrickTalk2_02	¡No he dicho a quién pensaba dárselo!	Flora	Neutral	
W4FriPatrickTalk2_03	No es difícil adivinarlo.	Patrick	Happy	
W4FriPatrickTalk2_04	Acabas de gastar 50 créditos.	Elsys	Neutral	
W4FriPatrickTalk3_01	No puedo esperar a nuestra fiesta de Navidad. Hace tanto tiempo que no pasamos tiempo juntos. 	Patrick	Happy	
W4FriPatrickTalk3_02	Me alegro mucho de estar todavía con vosotros para compartir la ocasión. 	Flora	Happy	
W4FriPatrickTalk3_03	Nosotros también, te habríamos echado de menos	Patrick	Happy	
W4FriPhotoCarol_01	¡Allá vamos! ¡Eso hará feliz a Spike! ¡Una foto de su mayor fan!	Flora	Happy	
W4FriCarolTalk_01	¡Hola! ¿Qué haces aquí?	Caroll	Neutral	
W4FriCarolTalk_02	Mis compras de Navidad...	Flora	Neutral	
W4FriCarolTalk_03	Deberías tomarte un respiro y visitar el castillo. La gente dice que está embrujado. 	Caroll	Neutral	
W4FriCarolTalk_04	¿Embrujado?	Flora	Badmood	
W4FriCarolTalk_05	Sí, al parecer, cuando cae la noche, se oyen sollozos, y hay quien dice que cuando hace mucho frío, como hoy, aparece una niña con el pelo largo y negro mojado; se pasea en bata, descalza en la nieve y luego desaparece cuando intentas acercarte.	Caroll	Neutral	
W4FriCarolTalk_06	No estoy segura de que el castillo sea mi objetivo después de todo. 	Flora	Badmood	
W4FriCarolTalk_07	A mí me parece fascinante. Me encantaría ver un fantasma de verdad. Podrías tomar una foto si lo ves. 	Caroll	Happy	
W4FriCarolTalk_08	Lo más probable es que huya.	Flora	Neutral	
W4FriCarolTalk2_01	Entonces, ¿lo has visto?	Caroll	Neutral	
W4FriCarolTalk2_02	Caroll, de ninguna manera voy a ir a buscar fantasmas. Así que no pienses en eso. 	Flora	Neutral	
W4FriCarolTalk2_03	Y yo que creía que eras la más lanzada de todos.	Caroll	Badmood	
W4FriPhotoJade_01	¡Y ahí está! Patrick estará encantado con esta foto de Jade.	Flora	Happy	
W4FriJadeTalk_01	¿Qué haces aquí, Jade? ¿No me digas que te vas en el próximo tren? 	Flora	Neutral	
W4FriJadeTalk_02	En realidad no, sólo estaba pensando.	Jade	Badmood	
W4FriJadeTalk_03	¿Quiere compartir tus pensamientos?	Flora	Neutral	
W4FriJadeTalk_04	¿Mis pensamientos?	Jade	Neutral	
W4FriJadeTalk_05	Sí, eso es lo que hacen los amigos. Compartir pensamientos.	Flora	Neutral	
W4FriJadeTalk_06	Es que no es fácil...	Jade	Neutral	
W4FriJadeTalk_07	Lo sé. Tienes todo el peso de la academia sobre tus hombros, siempre organizando todo para todos y ninguna queja. Te respeto mucho.	Flora	Neutral	
W4FriJadeTalk_08	Es muy amable por tu parte...	Jade	Happy	
W4FriJadeTalk_09	Tenemos a la mejor directora de la historia. Conviertes nuestros sueños en realidad. Tienes un corazón enorme. Por eso todo el mundo te respeta. 	Flora	Neutral	
W4FriJadeTalk_10	La verdad es que la idea de hacer una elección equivocada para ti me pone de los nervios. El trabajo parece tan grande. No tengo la estatura de Birdy. Él sabía cómo dirigir esta academia con gracia y confianza. Yo no tengo ni idea. 	Jade	Badmood	
W4FriJadeTalk_11	Pues finge.	Flora	Happy	
W4FriJadeTalk_12	¿Fingir?	Jade	Neutral	
W4FriJadeTalk_13	Claro, nadie notará la diferencia. 	Flora	Happy	
W4FriJadeTalk_14	Ja, sabes cómo darle un empujón a una chica. 	Jade	Happy	
W4FriJadeTalk_15	Yo creo en ti. Tengo fe en tus decisiones. Y seguiré siendo tu alumna pase lo que pase.	Flora	Happy	
W4FriJadeTalk_16	Gracias. Tú también tienes un gran corazón. 	Jade	Happy	
W4FriJadeTalk_17	Tal vez, pero también salvaje.	Flora	Badmood	
W4FriJadeTalk_18	Algún día, pronto, verás que es una cualidad y no un defecto.	Jade	Happy	
W4FriJadeTalk2_01	¿Sigues pensando mucho, Jade?	Flora	Neutral	
W4FriJadeTalk2_02	Sí, estoy pensando en tu entrenamiento. Creo que voy a intensificar la marcha. Todos vosotros os habéis dormido en los laureles demasiado tiempo. 	Jade	Neutral	
W4FriJadeTalk2_03	Nada te derriba por mucho tiempo...	Flora	Badmood	
W4FriNoBottle_01	Es el regalo perfecto para Harry.	Flora	Happy	
W4FriNoBottle_02	 Los regalos no crecen en los árboles...	Spike	Neutral	
W4FriNoBottle_03	Pero no hay camarero. No puedo dejar el dinero en el mostrador.	Flora	Badmood	
W4FriNoBottle_04	Estoy cuidando el pub mientras el camarero se prepara para el Chrimbo. Esa bebida te costará 70 créditos.	Spike	Neutral	
W4FriNoBottle_05	¿70 créditos? Voy a tener que pensarlo.	Flora	Neutral	
W4FriNoBottle_06	Y no preguntes por el Señor Crédito, ¡es historia!	Spike	Happy	
W4FriNoBottle_07	Qué suerte la mía...	Flora	Badmood	
W4FriBottleTake_01	Acabas de gastar 70 créditos.	Elsys	Neutral	
W4FriFleurTake_01	Esta flor tiene un color verde increíble. ¡Es el regalo perfecto para Jade!	Flora	Happy	
W4FriNoPresent_01	Antes de empezar la fiesta hay que encontrar regalos para todos. 	Elsys	Neutral	
W4FriNoMoney_01	Has gastado demasiados créditos para comprar regalos a todos tus amigos. Deberías haber pensado menos en ti misma. 	Elsys	Neutral	
W4FriReplay_01	Vuelve a empezar y estate atenta.	Elsys	Neutral	
W4FriGameOver_01	La aventura termina aquí.	Elsys	Neutral	
W4SatCompetWarning1_01	Recuerda que Esteban amenazó a tus padres. Vas a tener que perder esta competición. 	Elsys	Neutral	
W4SatCompetWarning2_01	¡Cuidado! Recuerda que Esteban amenazó a tus padres. Vas a tener que perder la competición para continuar la aventura. 	Elsys	Neutral	
W5WedStart_01	Pobre Miguel, sólo quería ser amable. Tal vez debería ir a buscarlos. Después de todo, quizá sea el último momento de tranquilidad que pasemos juntos. ¿Pero cómo los encuentro ahora? 	Flora	Badmood	
W5WedMorceau01_01	Es una sección del mapa. Falta la segunda mitad. Me pregunto dónde estará. 	Flora	Happy	
W5WedMorceau01_02	No está del todo claro. Parecen olas o agua que fluye. No es de ninguna ayuda. 	Flora	Badmood	
W5WedNoOut_01	¿De qué sirve salir ahora? Ni siquiera sé dónde encontrarlos. 	Flora	Neutral	
W5WedBrocLock_01	Qué raro, está cerrado...	Flora	Neutral	
W5WedPatrickTalk_01	Hola. ¿Puedes decirme si has visto a los otros estudiantes? 	Flora	Neutral	
W5WedPatrickTalk_02	No, no por un tiempo. Estaban ocupados organizando una fiesta. ¿No me digas que no te han invitado?	Patrick	Neutral	
W5WedPatrickTalk_03	Pues...	Flora	Badmood	
W5WedPatrickTalk_04	Te invitaron pero dijiste que no y ahora desearías no haberlo hecho, ¿es eso? 	Patrick	Neutral	
W5WedPatrickTalk_05	Esa es la cara y la cruz del asunto. 	Flora	Badmood	
W5WedPatrickTalk_06	Hay cosas que hay que aprender, y rápido. Los amigos son difíciles de conseguir hoy en día y, a medida que creces, se vuelven más y más valiosos. Nunca olvides lo importante que es... 	Patrick	Neutral	
W5WedPatrickTalk_07	Mira, es un detalle por tu parte que lo digas. Pero ahora mismo, tengo que encontrarlos primero, y rápido. 	Flora	Neutral	
W5WedPatrickTalk_08	Me gustaría ayudar, pero no tengo ni idea de dónde han ido. Un momento. Encontré este pedazo de mapa antes cuando estaba ordenando el centro de estudiantes. Tal vez tenga algo que ver con la fiesta. 	Patrick	Neutral	
W5WedPatrickTalk_09	Gracias por todo.	Flora	Happy	
W5WedPatrickTalk_10	Un placer. Espero que te ayude a encontrarlos. 	Patrick	Happy	
W5WedPatrickTalk_11	Tal vez muestre el lugar de la fiesta.	Flora	Neutral	
W5WedPatrickTalk2_01	¿Los has encontrado ya?	Patrick	Neutral	
W5WedPatrickTalk2_02	Todavía no, pero lo estoy consiguiendo.	Flora	Neutral	
W5WedPatrickTalk2_03	Estoy seguro de que lo harás. Buena suerte.	Patrick	Happy	
W5WedNoOut2_01	Necesito la segunda sección del mapa.	Flora	Neutral	
W5WedKiewTalk_01	Buenas tardes Kiew.	Flora	Neutral	
W5WedKiewTalk_02	Buenas tardes, jovencita. ¿No entrenas esta tarde?	Kiew	Neutral	
W5WedKiewTalk_03	A decir verdad, mis compañeros están organizando una fiesta, y yo estoy tratando de encontrarlos. 	Flora	Neutral	
W5WedKiewTalk_04	Qué extraño. Habría pensado que una persona de carácter fuerte como tú podría dejar de lado la frivolidad y concentrarse en la competición. 	Kiew	Neutral	
W5WedKiewTalk_05	Eso es lo que pensé al principio.	Flora	Neutral	
W5WedKiewTalk_06	¿Qué te hizo cambiar de opinión?	Kiew	Neutral	
W5WedKiewTalk_07	Me dije que nuestros momentos juntos eran lo que más valía para mí. 	Flora	Neutral	
W5WedKiewTalk_08	Ya veo...	Kiew	Neutral	
W5WedKiewTalk_09	No he tenido mucha oportunidad de estar con ellos últimamente. 	Flora	Badmood	
W5WedKiewTalk_10	Quieres decir "estar con él"...	Kiew	Neutral	
W5WedKiewTalk_11	¿Que qué?	Flora	Neutral	
W5WedKiewTalk_12	No sé dónde han ido tus amigos, pero sí sé que si tomas el camino de la izquierda al salir de aquí y caminas por el arrozal, llegarás a una pequeña choza. Ahí es donde yo iría para una fiesta. Toma este mapa, así es más fácil. 	Kiew	Neutral	
W5WedKiewTalk_13	Genial, lo comprobaré.	Flora	Neutral	
W5WedKiewTalk2_01	¿Y qué pasa con la fiesta? ¿Cambiaste de opinión?	Kiew	Neutral	
W5WedKiewTalk2_02	No, pero son más difíciles de encontrar de lo que pensé en un principio. 	Flora	Badmood	
W5WedKiewTalk2_03	La perseverancia lo es todo. 	Kiew	Neutral	
W5WedMorceau02_01	Es una sección del mapa. No entiendo... Hay una isla con un árbol muerto y una especie de cueva. ¿Pero dónde están? Y hay algo escrito en el reverso. 	Flora	Neutral	
W5WedMorceau02_02	"Ante la luz del fuego, elige la oscuridad y encuentra el camino al corazón de la isla". ¿Qué clase de chorrada es esa, me pregunto?  	Flora	Neutral	
W5WedPelle_01	Es una pala vieja y oxidada...	Flora	Neutral	
W5WedMotte_01	La tierra ha sido excavada aquí no hace mucho tiempo. 	Flora	Neutral	
W5WedCreuse_01	Es una manivela de madera.	Flora	Neutral	
W5WedPuit_01	Falta la manivela para activarlo.	Flora	Neutral	
W5WedPuitUse_01	Vale, tengo el cubo del fondo del pozo y hay algo dentro. 	Flora	Neutral	
W5WedPuitUse_02	Es una sección de mapa, enrollada alrededor de una piedra con un hilo atado. 	Flora	Neutral	
W5WedPuitUse_03	Hay una hoja dibujada en ella y otro mensaje...	Flora	Neutral	
W5WedPuitUse_04	"Estoy ante ti, insignificante. Has visto este siglo y el anterior sin cambios. No me necesitas, pero tu único ojo contiene el camino hacia el calor de la amistad". ¿Por qué la gente tiene que ser tan complicada?	Flora	Badmood	
W5WedPuitUse_05	Esa piedra es realmente extraña. ¡Es como si fuera magnética!	Flora	Neutral	
W5WedPuitUse_06	El mensaje tenía una hoja dibujada. Supongo que tienes que encontrar un árbol enorme. 	Elsys	Neutral	
W5WedTree_01	Hay un agujero en el tronco del árbol. Pero es demasiado profundo para que mi mano lo examine. 	Flora	Neutral	
W5WedTreeUse_01	Hay algo pegado a la piedra magnética. ¡Es una llave! Parece muy antigua, como las antigüedades que se encuentran en los anticuarios.	Flora	Neutral	
W5WedTreeUse_02	Otro mapa. Creo que voy a empezar una colección. Hay una inscripción: "Ilumina el camino para guiarte hacia nosotros"	Flora	Badmood	
W5WedTreeUse2_01	Ya lo he hecho antes. Es inútil volver a hacerlo. 	Flora	Badmood	
W5WedLanterne_01	Es una vieja linterna sin valor. Sin embargo, todavía funciona. 	Flora	Neutral	
W5WedDarkWay_01	Está demasiado oscuro ese camino. No hay manera de que pueda bajar sin luz. 	Flora	Badmood	
W5WedLanterneUse_01	Ya está. Ahora puedo explorar el camino. 	Flora	Happy	
W5WedNoHorse_01	Será mejor que vayas con tu caballo. No puedes dejarlo vagando fuera.	Elsys	Neutral	
W5WedNoHorse2_01	Será mejor que vayas con tu caballo. No puedes dejarlo vagando fuera.	Elsys	Neutral	
W5SatStart_01	Otra carta. Esta vez no hay duda de quién es mi admirador. 	Flora	Neutral	
W5SatStart_02	"Te espero, en silencio, dejando señales tras de mí para guiarte hasta aquí. Una para descubrir, dos para vacilar y tres para decidir. Puedes dar la vuelta en cualquier momento y lo entenderé. Sigue tu corazón, y muéstrame tu alma; la acogeré sea cual sea su contenido. La primera pista se encuentra cerca de las cenizas de mi felicidad. Fue colocada para ti después de nuestra noche de fogata." 	Flora	Neutral	
W5SatNoOut_01	El camino hacia el campamento está muy oscuro; necesitaré una luz. Lástima que haya tenido que dejar la vieja linterna. Debo tener una linterna en algún lugar entre mis cosas. 	Flora	Neutral	
W5SatLampeOff_01	Es una linterna, pero las pilas están agotadas. ¿Cómo diablos voy a encontrar pilas por aquí? ¿Por qué es todo tan complicado? 	Flora	Badmood	
W5SatLampeOff_02	Prueba primero en la tienda de antigüedades. Parece que tiene de todo. ¡Por qué no pilas también!	Elsys	Neutral	
W5SatNoOut2_01	No. Todavía no hay pilas para la linterna. 	Flora	Neutral	
W5SatBrocTalk_01	¿Qué haces aquí? ¿No me digas que también tienes una tienda aquí? 	Flora	Happy	
W5SatBrocTalk_02	¡Qué agradable sorpresa! Parece que nuestros caminos están permanentemente destinados a cruzarse. 	Dubouquin	Happy	
W5SatBrocTalk_03	Yo también me alegro de verte. ¿Qué te trae por aquí? 	Flora	Happy	
W5SatBrocTalk_04	Tu querida persona, la verdad sea dicha.	Dubouquin	Neutral	
W5SatBrocTalk_05	¿Qué? ¿Cómo es que soy responsable?	Flora	Neutral	
W5SatBrocTalk_06	No directamente. En realidad fue el catálogo de antigüedades chinas que me diste, ¿recuerdas? 	Dubouquin	Neutral	
W5SatBrocTalk_07	Sí, por supuesto.	Flora	Neutral	
W5SatBrocTalk_08	Pues bien, hace poco investigué un poco la región y parece que hay un tesoro muy antiguo enterrado en la zona esperando a ser encontrado. He venido aquí para descubrirlo. 	Dubouquin	Neutral	
W5SatBrocTalk_09	¿Caza del tesoro? ¿A tu edad? ¿Es una buena idea? 	Flora	Happy	
W5SatBrocTalk_10	Deduzco que tú también has estado persiguiendo pistas extravagantes. 	Dubouquin	Happy	
W5SatBrocTalk_11	¿Quién te ha dicho eso?	Flora	Angry	
W5SatBrocTalk_12	Basta de charla, dime, ¿has venido por negocios?	Dubouquin	Happy	
W5SatBrocTalk2_01	¡Así que, jovencita! ¿Las antigüedades te llamaron la atención?	Dubouquin	Neutral	
W5SatBrocTalk2_02	Eh... no gracias...	Flora	Neutral	
W5SatBrocTalk3_01	Dime, ¿no tendrás pilas para mi linterna?	Flora	Neutral	
W5SatBrocTalk3_02	¿Baterías? ¿Parezco un supermercado?	Dubouquin	Angry	
W5SatBrocTalk3_03	Disculpa, no quería parecer irrespetuosa.	Flora	Badmood	
W5SatBrocTalk3_04	Ahora, ¡lárgate!	Dubouquin	Angry	
W5SatSamTalk_01	Hola... No hay respuesta. Increíble. Siempre tiene los auriculares puestos. 	Flora	Neutral	
W5SatSamTalk2_01	¡SAMUEL! 	Flora	Neutral	
W5SatSamTalk2_02	¿Qu… Qué?	Samuel	Neutral	
W5SatSamTalk2_03	Dime, ¿puedo tomar prestadas tus pilas por unos minutos? 	Flora	Neutral	
W5SatSamTalk2_04	¿Mis pilas? ¿Pero cómo voy a escuchar música si te doy mis pilas?	Samuel	Neutral	
W5SatSamTalk2_05	Sólo las necesito para una cosa.	Flora	Neutral	
W5SatSamTalk2_06	¡De ninguna manera, a menos que me des otra forma de escuchar ....!	Samuel	Neutral	
W5SatSamTalk2_07	Vamos... Samuel... ¡Oh no! ¡Se ha vuelto a poner los auriculares!	Flora	Badmood	
W5SatSamTalk3_01	Samuel... ¡SAMUEL!	Flora	Neutral	
W5SatSamTalk3_02	¿Y ahora qué? 	Samuel	Neutral	
W5SatSamTalk3_03	He hablado con Aurélie y dice que está dispuesta a tocar el violín para ti. 	Flora	Happy	
W5SatSamTalk3_04	¿Aurélie? ¿Violín? ¿Quieres matar mi confianza, o qué? 	Samuel	Badmood	
W5SatSamTalk3_05	Últimamente ha llegado a lo grande. Deberías darle una oportunidad. Ella dijo que era un programa especial, sólo para ti.	Flora	Happy	
W5SatSamTalk3_06	¿Ella ha dicho eso?	Samuel	Happy	
W5SatSamTalk3_07	Totalmente.	Flora	Happy	
W5SatSamTalk3_08	Siempre he tenido debilidad por el violín. A ver qué ofrece. 	Samuel	Happy	
W5SatSamTalk3_09	Estoy segura de que sí.	Flora	Happy	
W5SatAurelTalk_01	Hola, ¿qué haces a solas?	Flora	Neutral	
W5SatAurelTalk_02	Estoy practicando con el violín, pero no tengo ganas de tocar. Si pudiera encontrar a alguien que me escuchara de verdad, estoy segura de que me haría mucho bien. Dime, ¿no tienes un momento libre? 	Aurelie	Badmood	
W5SatAurelTalk_03	Lo siento, tengo un montón de cosas que hacer ahora mismo. Pero intentaré encontrarte a alguien. 	Flora	Neutral	
W5SatAurelTalk_04	Oh, eso sería muy amable de tu parte.	Aurelie	Happy	
W5SatAurelTalk2_01	Entonces, ¿has encontrado a alguien?	Aurelie	Neutral	
W5SatAurelTalk2_02	Todavía no, pero estoy buscando.	Flora	Badmood	
W5SatAurelTalk3_01	Será mejor que los deje. Parece que les va bien sin mí. 	Flora	Neutral	
W5SatSamTalk4_01	Será mejor que los deje. Parece que les va bien sin mí.	Flora	Neutral	
W5SatPiles_01	Es el reproductor de MP3 de Samuel. Y tiene pilas dentro.	Flora	Neutral	
W5SatLampe_01	Ahora puedo usar la linterna para atravesar la oscuridad. 	Flora	Neutral	
W5SatNoHorse_01	Será mejor que vayas con tu caballo. No puedes dejarlo vagando fuera.	Elsys	Neutral	
W5SatNoHorse2_01	Será mejor que vayas con tu caballo. No puedes dejarlo vagando fuera.	Elsys	Neutral	
W5SatIndiceTake_01	"Es allí donde me sentí más cerca de ti. La luz del fuego bailaba en tu cara y brillaba en tus ojos como joyas. Mi segunda pista se encuentra más allá de una canción de descanso. Sigue el camino de pétalos azules."	Flora	Neutral	
W5SatIndice2Take_01	"A menudo vengo a esta cascada y pienso en ti. Porque aquí hay una calma que exige respeto, un movimiento incesante, reposado abajo, turbulento en la cima. Me hace pensar en ti y en los torrentes de emoción que te sumergen a veces, haciéndote tan emocionante. Me encantaría pasar un día contigo, escuchando el agua y el tiempo borbotear. Deja que esta pequeña bolsa te lleve a mi tercera pista. Mira a lo lejos y quizás encuentres el camino hacia mi corazón".	Flora	Neutral	
W5SatIndice2Take_02	Contiene pequeños granos de arroz. Quiere que vaya al campo de arroz.	Flora	Neutral	
W5SatIndice2Take_03	Vi señales que parecían decir que hay un arrozal más arriba. Supongo que debería seguirlos. 	Elsys	Neutral	
W5SatRiziere_01	Bien, he llegado. Ahora tengo que observar el paisaje para encontrar la pista. No tengo prismáticos, pero tengo mi cámara. 	Flora	Neutral	
W5SatZoomOff_01	El zoom de mi cámara está atascado. Es imposible usarlo y realmente lo necesito para encontrar la pista. Alguien tendrá que repararlo para mí.	Flora	Angry	
W5SatZoomOff2_01	El zoom de mi cámara está atascado. Es imposible usarlo. Alguien tendrá que repararlo para mí.	Flora	Angry	
W5SatHarryTalk_01	Hola Harry, ¿descansando un poco?	Flora	Neutral	
W5SatHarryTalk_02	¿Qué? En absoluto, estoy pensando en realidad.	Harry	Angry	
W5SatHarryTalk_03	¿Pensando en lo que se va a quejar la próxima vez? 	Flora	Neutral	
W5SatHarryTalk_04	Cuide sus modales, señorita. En realidad estaba pensando en cómo ganar la competición. Todos estáis pasando el tiempo fuera divirtiéndoos a saber dónde; no podéis perder ese ritmo de entrenamiento. 	Harry	Angry	
W5SatHarryTalk_05	El entrenamiento comienza de nuevo mañana, el doble de duro, lo prometo. Pero ahora mismo, tengo otros peces que freír. 	Flora	Neutral	
